town,storey_range,floor_area_sqm,remaining_lease
87843,ANG MO KIO,1,68.0,59
87844,ANG MO KIO,0,68.0,59
87845,ANG MO KIO,0,67.0,58
87846,ANG MO KIO,1,82.0,58
87847,ANG MO KIO,0,67.0,58
87848,ANG MO KIO,0,68.0,59
87849,ANG MO KIO,1,68.0,59
87850,ANG MO KIO,1,67.0,58
87851,ANG MO KIO,1,82.0,58
87852,ANG MO KIO,0,68.0,59
87853,ANG MO KIO,0,68.0,59
87854,ANG MO KIO,0,68.0,57
87855,ANG MO KIO,0,67.0,58
87856,ANG MO KIO,1,75.0,58
87857,ANG MO KIO,1,82.0,59
87858,ANG MO KIO,1,68.0,58
87859,ANG MO KIO,0,67.0,58
87860,ANG MO KIO,1,68.0,57
87861,ANG MO KIO,1,68.0,58
87862,ANG MO KIO,1,68.0,58
87863,ANG MO KIO,0,82.0,58
87864,ANG MO KIO,0,68.0,59
87865,ANG MO KIO,2,68.0,59
87866,ANG MO KIO,1,82.0,58
87867,ANG MO KIO,0,75.0,58
87868,ANG MO KIO,1,68.0,58
87869,ANG MO KIO,0,81.0,57
87870,ANG MO KIO,0,82.0,58
87871,ANG MO KIO,1,68.0,58
87872,ANG MO KIO,0,68.0,58
87873,ANG MO KIO,2,89.0,58
87874,ANG MO KIO,1,68.0,58
87875,ANG MO KIO,0,75.0,58
87876,ANG MO KIO,1,68.0,58
87877,ANG MO KIO,1,81.0,58
87878,ANG MO KIO,1,81.0,58
87879,ANG MO KIO,0,68.0,58
87880,ANG MO KIO,0,67.0,58
87881,ANG MO KIO,0,68.0,58
87882,ANG MO KIO,1,67.0,57
87883,ANG MO KIO,0,67.0,58
87884,ANG MO KIO,0,68.0,58
87885,ANG MO KIO,1,82.0,58
87886,ANG MO KIO,1,68.0,58
87887,ANG MO KIO,0,89.0,58
87888,ANG MO KIO,1,68.0,58
87889,ANG MO KIO,0,67.0,62
87890,ANG MO KIO,0,68.0,58
87891,ANG MO KIO,1,68.0,58
87892,ANG MO KIO,1,82.0,58
87893,ANG MO KIO,0,68.0,58
87894,ANG MO KIO,1,67.0,58
87895,ANG MO KIO,0,82.0,58
87896,ANG MO KIO,0,68.0,58
87897,ANG MO KIO,1,68.0,58
87898,ANG MO KIO,0,68.0,58
87899,ANG MO KIO,0,67.0,62
87900,ANG MO KIO,0,67.0,58
87901,ANG MO KIO,1,67.0,62
87902,ANG MO KIO,1,68.0,58
87903,ANG MO KIO,0,68.0,58
87904,ANG MO KIO,0,68.0,58
87905,ANG MO KIO,1,68.0,58
87906,ANG MO KIO,0,82.0,58
87907,ANG MO KIO,1,68.0,58
87908,ANG MO KIO,0,82.0,58
87909,ANG MO KIO,1,67.0,94
87910,ANG MO KIO,1,67.0,94
87911,ANG MO KIO,1,67.0,93
87912,ANG MO KIO,2,67.0,93
87913,ANG MO KIO,2,67.0,93
87914,ANG MO KIO,1,97.0,55
87915,ANG MO KIO,1,91.0,56
87916,ANG MO KIO,0,97.0,55
87917,ANG MO KIO,0,94.0,90
87918,ANG MO KIO,1,97.0,54
87919,ANG MO KIO,0,97.0,55
